Year,Organization,Project,Type,Priority,Funding_Request,Funding_Award,Total_Score,App_Type,Priority_Category
2018,Preble Street,Florence House Women's Shelter,SS,ANGHP,26140.0,,89.11111111111111,Social Services,ANGHP
2018,YMCA of Southern Maine,New American Welcome Center,SS,EO,48151.0,,88.33333333333333,Social Services,EO
2018,Milestone,HOME Team,SS,ANGHP,150000.0,14000.0,88.0,Social Services,ANGHP
2018,LearningWorks,English Language & Literacy Program ,SS,EO,45000.0,,87.88888888888889,Social Services,EO
2018,Preble Street,Resource Center,SS,ANGHP,39211.0,25667.0,87.22222222222221,Social Services,ANGHP
2018,Greater Portland Health,Medication Assisted Recovery Program (MARP),SS,ANGHP,150000.0,,86.66666666666667,Social Services,ANGHP
2018,Milestone,Emergency Shelter & Housing Navigator,SS,ANGHP,75000.0,,86.44444444444444,Social Services,ANGHP
2018,Portland Adult Education,New Mainers Resource Center Credential Eval. & Mentor.,SS,EO,83688.0,,84.88888888888889,Social Services,EO
2018,COP- Health & Human Services,Long Term Stayers Comm. Integration & Landlord Outreach,SS,ANGHP,58966.0,-294.76,84.33333333333333,Social Services,ANGHP
2018,Southern ME Agency on Aging,City of Portland Dementia Response Intervention,SS,NI,68555.0,,80.88888888888889,Social Services,NI
2018,COP- Health & Human Services,Portland Opportunity Crew,SS,EO,99063.0,,76.44444444444444,Social Services,EO
2018,Pihcintu,M.A.K.E. ME Better,SS,ANGHP,20000.0,,75.33333333333333,Social Services,ANGHP
2018,COP- Planning and Urban Dev.,Transit Pass Fare Gap Program ,SS,NI,10000.0,,65.88888888888889,Social Services,NI
2018,Congolese Community of ME,Basic English to Open Job Market,SS,EO,25000.0,,63.33333333333333,Social Services,EO
2018,African Women and Dev.,Sewing Machine,SS,EO,36000.0,49945.48,62.55555555555555,Social Services,EO
2019,COP and Portland Downtown,Bicycle and Pedesdtrian infrasturcture improvements,DEV,NI,23975.0,23942.0,88.34,Construction/Development,NI
2019,Mayo Street Arts,Wheelchair Access Ramp,CON,NI,75000.0,74904.0,87.18,Construction/Development,NI
2019,Port Resources,Port Resources Group Home Rehab,CON,NI,16100.0,16077.0,86.34,Construction/Development,NI
2019,Alpha One,Critical Access Ramp Program ,DEV,HA,40000.0,39947.0,78.66,Construction/Development,HA
2019,Learning Works,Renovation of Historic Education Facility,CON,EO,82000.0,81895.0,78.49,Construction/Development,EO
2019,Boys and Girls Club,Energy Efficiency Improvements to the Portland Club House,CON,NI,50000.0,49935.0,76.0,Construction/Development,NI
